topic,publication_count,percentage
Generational Differences and Trends,2,0.0
Genetic and rare skin diseases.,2,0.0
"Gender, Security, and Conflict",2,0.0
"Multiculturalism, Politics, Migration, Gender",2,0.0
Multidisciplinary Research Papers Compilation,2,0.0
Social Sciences and Governance,2,0.0
Social Sciences and Policies,2,0.0
Social and Economic Solidarity,2,0.0
linguistics and terminology studies,2,0.0
Innovations in Aquaponics and Hydroponics Systems,2,0.0
Accounting Education and Careers,2,0.0
Advanced Algebra and Logic,2,0.0
Women's cancer prevention and management,2,0.0
Knowledge Management and Technology,2,0.0
Plant Ecology and Taxonomy Studies,2,0.0
Innovative Teaching Methodologies in Social Sciences,2,0.0
Water Resources and Sustainability,2,0.0
Wave and Wind Energy Systems,2,0.0
Web Application Security Vulnerabilities,2,0.0
Ear and Head Tumors,2,0.0
Economic Zones and Regional Development,2,0.0
"Literature: history, themes, analysis",1,0.0
"Radio, Podcasts, and Digital Media",1,0.0
Railway Engineering and Dynamics,1,0.0
Organizational Downsizing and Restructuring,1,0.0
Advanced Scientific Research Methods,1,0.0
Advanced Sensor Technologies Research,1,0.0
Advanced Sensor and Control Systems,1,0.0
Historical and Cultural Archaeology Studies,1,0.0
Historical and Literary Analyses,1,0.0
Historical and Literary Studies,1,0.0
Historical and Modern Theater Studies,1,0.0
Lymphatic Disorders and Treatments,1,0.0
Higher Education Teaching and Evaluation,1,0.0
Advanced Mathematical Identities,1,0.0
Advanced Decision-Making Techniques,1,0.0
Water Resource Management and Quality,1,0.0
Energy Efficiency in Computing,1,0.0
Italian Literature and Culture,1,0.0
Italian Social Issues and Migration,1,0.0
Italy: Economic History and Contemporary Issues,1,0.0
Educational Leadership and Administration,1,0.0
Educational Methods and Teacher Development,1,0.0
Educational Methods and Technology,1,0.0
Educational Philosophies and Pedagogies,1,0.0
Catholicism and Religious Studies,1,0.0
Social Movements and Cultural Identity,1,0.0
Social Policies and Family,1,0.0
Gender and Feminist Studies,1,0.0
Multicultural Socio-Legal Studies,1,0.0
Multidisciplinary Warburg-centric Studies,1,0.0
Social and Economic Development in India,1,0.0
Innovation in Digital Healthcare Systems,1,0.0
Innovations and Analysis in Business and Education,1,0.0
Soil Science and Environmental Management,1,0.0
"Soil, Finite Element Methods",1,0.0
Botany and Geology in Latin America and Caribbean,1,0.0
Social impacts of COVID-19,1,0.0
Socioeconomic Development in Asia,1,0.0
"COVID-19, Geopolitics, Technology, Migration",1,0.0
Calpain Protease Function and Regulation,1,0.0
Cambodian History and Society,1,0.0
Socioeconomic Development in MENA,1,0.0
"Leadership, Courage, and Heroism Studies",1,0.0
Legal Issues in South Africa,1,0.0
Legal Studies and Policies,1,0.0
Legal and Policy Analysis in Indonesia,1,0.0
Music History and Culture,1,0.0
Musicology and Musical Analysis,1,0.0
Humic Substances and Bio-Organic Studies,1,0.0
Shoulder and Clavicle Injuries,1,0.0
Chemical and Environmental Engineering Research,1,0.0
Fossil Insects in Amber,1,0.0
Freezing and Crystallization Processes,1,0.0
French Historical and Cultural Studies,1,0.0
French Literature and Criticism,1,0.0
French Literature and Poetry,1,0.0
Silkworms and Sericulture Research,1,0.0
Legal and Policy Issues,1,0.0
Legal and Regulatory Analysis,1,0.0
Legal and Social Justice Studies,1,0.0
Geological and Geophysical Studies Worldwide,1,0.0
Geometry and complex manifolds,1,0.0
Mollusks and Parasites Studies,1,0.0
Morinda citrifolia extract uses,1,0.0
"Mormonism, Religion, and History",1,0.0
Giambattista Vico and Joyce,1,0.0
Geological Formations and Processes Exploration,1,0.0
Biopolymer Synthesis and Applications,1,0.0
Spatial and Cultural Studies,1,0.0
South Asian Studies and Conflicts,1,0.0
South Asian Studies and Diaspora,1,0.0
"Education, Technology, and Economics",1,0.0
Digital Accessibility for Disabilities,1,0.0
Digital Filter Design and Implementation,1,0.0
Property Rights and Legal Doctrine,1,0.0
Islamic Studies and Radicalism,1,0.0
Island Studies and Pacific Affairs,1,0.0
Educational theories and practices,1,0.0
Forensic Entomology and Diptera Studies,1,0.0
Fluid Dynamics and Mixing,1,0.0
Short Stories in Global Literature,1,0.0
Military history and social perspectives,1,0.0
Milk Quality and Mastitis in Dairy Cows,1,0.0
Mining and Gasification Technologies,1,0.0
Bioactive Compounds in Plants,1,0.0
Spinal Hematomas and Complications,1,0.0
Sports Dynamics and Biomechanics,1,0.0
Sports and Physical Education Studies,1,0.0
Bartonella species infections research,1,0.0
Humanities and Social Sciences,1,0.0
Soviet and Russian History,1,0.0
Space Technology and Applications,1,0.0
Spacecraft Dynamics and Control,1,0.0
Geotourism and Geoheritage Conservation,1,0.0
German Security and Defense Policies,1,0.0
"German legal, social, and political studies",1,0.0
Gestational Trophoblastic Disease Studies,1,0.0
Japanese History and Culture,1,0.0
Jewish Identity and Society,1,0.0
"Development, Ethics, and Society",1,0.0
Developmental and Educational Neuropsychology,1,0.0
Decolonial Thought and Epistemologies,1,0.0
Educational Technology and Optimization,1,0.0
Educational Technology in Learning,1,0.0
Educational and Organizational Development,1,0.0
Educational and Technological Research,1,0.0
Biomedical and Chemical Research,1,0.0
Berry genetics and cultivation research,1,0.0
Microwave and Dielectric Measurement Techniques,1,0.0
Microwave-Assisted Synthesis and Applications,1,0.0
Military Defense Systems Analysis,1,0.0
Military History and Strategy,1,0.0
Military and Defense Studies,1,0.0
Fixed Point Theorems Analysis,1,0.0
Sesame and Sesamin Research,1,0.0
Sesquiterpenes and Asteraceae Studies,1,0.0
Chemical and Physical Studies,1,0.0
Beetle Biology and Toxicology Studies,1,0.0
Spreadsheets and End-User Computing,1,0.0
Stability and Controllability of Differential Equations,1,0.0
"Balkans: History, Politics, Society",1,0.0
Steroid Chemistry and Biochemistry,1,0.0
Global Socioeconomic and Political Dynamics,1,0.0
Global Urban Networks and Dynamics,1,0.0
Global socioeconomic and cultural dynamics,1,0.0
Global Development and Urbanization,1,0.0
Global Economic and Social Development,1,0.0
Natural Products and Biological Research,1,0.0
Food and Agricultural Sciences,1,0.0
Stonefly species taxonomy and ecology,1,0.0
Augustinian Studies and Theology,1,0.0
Australian Indigenous Culture and History,1,0.0
Structural Load-Bearing Analysis,1,0.0
Student Stress and Coping,1,0.0
Metallic Glasses and Amorphous Alloys,1,0.0
Metallurgy and Cultural Artifacts,1,0.0
Metallurgy and Material Science,1,0.0
Global Financial Regulation and Crises,1,0.0
Study and Philosophy of Religion,1,0.0
Indigenous Cultures and Socio-Education,1,0.0
Financial Literacy and Behavior,1,0.0
Finite Group Theory Research,1,0.0
Female Genital Mutilation/Cutting Issues,1,0.0
Food Drying and Modeling,1,0.0
Nephrotoxicity and Medicinal Plants,1,0.0
Cinema and Media Studies,1,0.0
Civil and Structural Engineering Research,1,0.0
Seedling growth and survival studies,1,0.0
Semiotics and Representation Studies,1,0.0
Indigenous Health and Education,1,0.0
Photocathodes and Microchannel Plates,1,0.0
Education Methods and Technologies,1,0.0
Education and Art Integration,1,0.0
Power Systems and Technologies,1,0.0
Diptera species taxonomy and behavior,1,0.0
Educational Research and Pedagogy,1,0.0
Philippine History and Culture,1,0.0
Philosophy and Literary Analysis,1,0.0
Education for Peace and Conflict Resolution,1,0.0
Education in Diverse Contexts,1,0.0
"Education, Literature, Philosophy Research",1,0.0
Art Education and Development,1,0.0
Medieval Literature and History,1,0.0
Hannah Arendt's Political Philosophy,1,0.0
Hallucinations in medical conditions,1,0.0
Indigenous Peoples' Rights and Law,1,0.0
Indigenous and Place-Based Education,1,0.0
Indonesian Legal and Regulatory Studies,1,0.0
International Environmental Law and Policies,1,0.0
International Labor and Employment Law,1,0.0
Graphic Design and Typography,1,0.0
Meromorphic and Entire Functions,1,0.0
"Globalization, Historical Perspectives, and International Relations",1,0.0
Gothic Literature and Media Analysis,1,0.0
International Relations in Latin America,1,0.0
Arts and Performance Studies,1,0.0
Securities Regulation and Market Practices,1,0.0
Scheduling and Timetabling Solutions,1,0.0
Science and Science Education,1,0.0
Coastal Management and Development,1,0.0
New Zealand Economic and Social Studies,1,0.0
Facial Trauma and Fracture Management,1,0.0
Facility Location and Emergency Management,1,0.0
Evolving Legal Systems and Governance,1,0.0
Experience-Based Knowledge Management,1,0.0
"Science, Technology, and Education in Latin America",1,0.0
Scientific Research Methodologies and Applications,1,0.0
Scientific and Historical Analyses,1,0.0
Asian Industrial and Economic Development,1,0.0
Asian Studies and History,1,0.0
Assembly Line Balancing Optimization,1,0.0
Sunflower and Safflower Cultivation,1,0.0
Surface Treatment and Coatings,1,0.0
Psychological Treatments and Assessments,1,0.0
Psychological Treatments and Disorders,1,0.0
Psychology Research and Bibliometrics,1,0.0
Electrical Fault Detection and Protection,1,0.0
Educational Research and Science Teaching,1,0.0
Medieval Philosophy and Theology,1,0.0
"Memory, violence, and history",1,0.0
Artistic and Creative Research,1,0.0
Synthesis and Characterization of Pyrroles,1,0.0
Synthesis of Indole Derivatives,1,0.0
Synthesis of Organic Compounds,1,0.0
Tailings Management and Properties,1,0.0
Aquatic and Environmental Studies,1,0.0
Arabic Language Education Studies,1,0.0
Archaeological and Geological Studies,1,0.0
European Law and Migration,1,0.0
Archaeology and Natural History,1,0.0
Post-Communist Economic and Political Transition,1,0.0
Power Line Communications and Noise,1,0.0
Power Quality and Harmonics,1,0.0
Education and Labor Relations,1,0.0
Physical Education and Training Studies,1,0.0
"Economic, Social, and Health Studies",1,0.0
"Philosophy, Sociology, Political Theory",1,0.0
Phosphorus compounds and reactions,1,0.0
Architectural and Urban Studies,1,0.0
Safety Warnings and Signage,1,0.0
Samuel Beckett and Modernism,1,0.0
Nonlocal and gradient elasticity in micro/nano structures,1,0.0
"Educational, Social, and Political Issues",1,0.0
Peripheral Nerve Disorders,1,0.0
Dental Anxiety and Anesthesia Techniques,1,0.0
Rural and Ethnic Education,1,0.0
SAS software applications and methods,1,0.0
Safety Systems Engineering in Autonomy,1,0.0
Architecture and Art History Studies,1,0.0
Architecture and Cultural Influences,1,0.0
"Architecture, Design, and Social History",1,0.0
Taxation and Legal Issues,1,0.0
Teacher Education and Assessments,1,0.0
Technology and Human Factors in Education and Health,1,0.0
"Technology, Environment, Urban Planning",1,0.0
Aortic Thrombus and Embolism,1,0.0
Applied Advanced Technologies,1,0.0
Appreciative Inquiry and Organizational Change,1,0.0
Approximation Theory and Sequence Spaces,1,0.0
Animal health and immunology,1,0.0
Anodic Oxide Films and Nanostructures,1,0.0
Library Science and Administration,1,0.0
Library Science and Information Literacy,1,0.0
"Theater, Performance, and Music History",1,0.0
Animal Law and Welfare,1,0.0
Theology and Canon Law Studies,1,0.0
Thermal Analysis in Power Transmission,1,0.0
Analog and Mixed-Signal Circuit Design,1,0.0
Romani and Gypsy Studies,1,0.0
European Politics and Security,1,0.0
European Socioeconomic and Political Studies,1,0.0
History of Science and Natural History,1,0.0
Hong Kong and Taiwan Politics,1,0.0
Latin American Cultural Politics,1,0.0
Latin American history and culture,1,0.0
"Law, Ethics, and AI Impact",1,0.0
Rural Development and Agriculture,1,0.0
Ethics and bioethics in healthcare,1,0.0
Eurasian Exchange Networks,1,0.0
European Cultural and National Identity,1,0.0
Nursing Roles and Practices,1,0.0
Analytic Number Theory Research,1,0.0
Analytic and geometric function theory,1,0.0
Anarchism and Radical Politics,1,0.0
Ancient Mediterranean Archaeology and History,1,0.0
Ancient and Medieval Archaeology Studies,1,0.0
American History and Culture,1,0.0
"Media, Journalism, and Communication History",1,0.0
"Media, Religion, Digital Communication",1,0.0
Medical Device Sterilization and Disinfection,1,0.0
Medical and Agricultural Research Studies,1,0.0
Medical and Health Sciences Research,1,0.0
Medical research and treatments,1,0.0
Electromagnetic Compatibility and Measurements,1,0.0
Electromagnetic Compatibility and Noise Suppression,1,0.0
Electromagnetic Effects on Materials,1,0.0
"Medical, Sociocultural, and Biopolitical Studies",1,0.0
Dispute Resolution and Class Actions,1,0.0
Diverse Academic Research Areas,1,0.0
Phytochemistry and Bioactive Compounds,1,0.0
Phytochemistry and biological activities of Ficus species,1,0.0
Piezoelectric Actuators and Control,1,0.0
Economic Analysis and Policy,1,0.0
Cybersecurity and Information Systems,1,0.0
Occupational and Professional Licensing Regulation,1,0.0
Hymenoptera taxonomy and phylogeny,1,0.0
Ideological and Political Education,1,0.0
European and International Contract Law,1,0.0
Evasion and Academic Success Factors,1,0.0
Reproductive biology and impacts on aquatic species,1,0.0
Research in Social Sciences,1,0.0
Research studies in Vietnam,1,0.0
Thermoelastic and Magnetoelastic Phenomena,1,0.0
"Torture, Ethics, and Law",1,0.0
Alexander von Humboldt Studies,1,0.0
Health and Medical Education,1,0.0
"Health, Technology, Consumer Behavior",1,0.0
Media and Communication Studies,1,0.0
Media and Digital Communication,1,0.0
Impulse Buying and Technology Impacts,1,0.0
Public Policy and Governance,1,0.0
Public health and occupational medicine,1,0.0
Pulsed Power Technology Applications,1,0.0
Q Methodology Applications,1,0.0
Cybernetics and Technology in Society,1,0.0
Political and Social Dynamics in Chile and Latin America,1,0.0
"Politics and Conflicts in Afghanistan, Pakistan, and Middle East",1,0.0
Politics and Society in Latin America,1,0.0
Polymer Foaming and Composites,1,0.0
Turkey's Politics and Society,1,0.0
Healthcare and Venom Research,1,0.0
Healthcare during COVID-19 Pandemic,1,0.0
Mechanical and Thermal Properties Analysis,1,0.0
Agricultural and Food Sciences,1,0.0
Agricultural and Rural Development Research,1,0.0
Agriculture and Agroindustry Studies,1,0.0
Transport and Logistics Innovations,1,0.0
Operations Management Techniques,1,0.0
Environmental Science and Water Management,1,0.0
Environmental Sustainability and Technology,1,0.0
Environmental and Air Quality Management,1,0.0
Environmental and Cultural Studies in Latin America and Beyond,1,0.0
Environmental law and policy,1,0.0
Entomological Studies and Ecology,1,0.0
Environmental Engineering and Cultural Studies,1,0.0
Environmental Monitoring and Data Management,1,0.0
Computer Science and Engineering,1,0.0
"Religious, Philosophical, and Educational Studies",1,0.0
Comparative Animal Anatomy Studies,1,0.0
Comparative International Legal Studies,1,0.0
Comparative and International Law Studies,1,0.0
Comparative and World Literature,1,0.0
Travel Writing and Literature,1,0.0
Turbomachinery Performance and Optimization,1,0.0
Diverse Research and Applications,1,0.0
Diverse Scientific Research in Ukraine,1,0.0
Diverse academic and cultural studies,1,0.0
Urban Transport Systems Analysis,1,0.0
Historical Astronomy and Related Studies,1,0.0
Masonry and Concrete Structural Analysis,1,0.0
Material Science and Thermodynamics,1,0.0
Material Selection and Properties,1,0.0
Materials Engineering and Processing,1,0.0
Mathematical Analysis and Transform Methods,1,0.0
Mathematical Approximation and Integration,1,0.0
Marine Invertebrate Physiology and Ecology,1,0.0
Heat transfer and supercritical fluids,1,0.0
Helminth infection and control,1,0.0
Maritime Security and History,1,0.0
"Aging, Health, and Disability",1,0.0
"Religion, Theology, History, Judaism, Christianity",1,0.0
Congenital Ear and Nasal Anomalies,1,0.0
Environmental and Analytical Chemistry Studies,1,0.0
Cynara cardunculus studies,1,0.0
QR Code Applications and Technologies,1,0.0
Cultural Insights and Digital Impacts,1,0.0
Cultural and Religious Practices in Indonesia,1,0.0
Paleopathology and ancient diseases,1,0.0
Knowledge Societies in the 21st Century,1,0.0
Korean Urban and Social Studies,1,0.0
History of Emotions Research,1,0.0
History of Medical Practice,1,0.0
"Religion, Gender, and Enlightenment",1,0.0
Agricultural Development and Management,1,0.0
Agricultural Engineering and Mechanization,1,0.0
Umberto Eco and Semiotics,1,0.0
Magnolia and Illicium research,1,0.0
Aerospace and Aviation Technology,1,0.0
African Studies and Geopolitics,1,0.0
Control Systems in Engineering,1,0.0
Regional Socio-Economic Development Trends,1,0.0
"Oral History, Memory, Narrative Analysis",1,0.0
Organ and Tissue Transplantation Research,1,0.0
Energy and Environmental Sustainability,1,0.0
Engine and Fuel Emissions,1,0.0
Engineering Applied Research,1,0.0
Engineering and Technology Innovations,1,0.0
Historical Influence and Diplomacy,1,0.0
Human Behavior and Motivation,1,0.0
Plant Toxicity and Pharmacological Properties,1,0.0
Dutch Social and Cultural Studies,1,0.0
E-commerce and Technology Innovations,1,0.0
Political Developments and Conflicts,1,0.0
Organizational Change and Leadership,1,0.0
Cyclization and Aryne Chemistry,1,0.0
Veterinary Practice and Education Studies,1,0.0
Advanced Power Amplifier Design,1,0.0
Advanced Queuing Theory Analysis,1,0.0
Advanced Research in Systems and Signal Processing,1,0.0
Magnetic Bearings and Levitation Dynamics,1,0.0
VLSI and Analog Circuit Testing,1,0.0
VLSI and FPGA Design Techniques,1,0.0
Varied Academic Research Topics,1,0.0
Advanced Technologies and Applied Computing,1,0.0
Advanced Thermodynamic Systems and Engines,1,0.0
Advanced Topics in Algebra,1,0.0
Advanced Topology and Set Theory,1,0.0
Consumer Perception and Purchasing Behavior,1,0.0
Consumer behavior in food and health,1,0.0
Contemporary Cultural and Social Studies,1,0.0
Contemporary and Historical Greek Studies,1,0.0
Control and Stability of Dynamical Systems,1,0.0
Corporate Governance and Financial Management,1,0.0
Corporate Governance and Law,1,0.0
Corporate Governance and Management,1,0.0
Corporate Law and Human Rights,1,0.0
Reconstructive Surgery and Microvascular Techniques,1,0.0
Regional Development and Innovation,1,0.0
Regional Development and Management Studies,1,0.0
Linguistic Studies and Language Acquisition,1,0.0
Linguistic and Sociocultural Studies,1,0.0
"Linguistic, Cultural, and Literary Studies",1,0.0
Literacy and Educational Practices,1,0.0
Literary Theory and Cultural Hermeneutics,1,0.0
"Literary, Cultural, Historical Analysis",1,0.0
Literature Analysis and Criticism,1,0.0
Literature and Culture Studies,1,0.0
Judicial and Constitutional Studies,1,0.0
Livestock and Poultry Management,1,0.0
Historical Philosophy and Science,1,0.0
Historical Studies and Socio-cultural Analysis,1,0.0
Information Architecture and Usability,1,0.0
Information Retrieval and Data Mining,1,0.0
Information Science and Libraries,1,0.0
Industrial Technology and Control Systems,1,0.0
"Youth, Politics, and Society",1,0.0
AI and Multimedia in Education,1,0.0
Criminal Justice and Penology,1,0.0
Critical Theory and Political Philosophy,1,0.0
Crustacean biology and ecology,1,0.0
Oropharyngeal Anatomy and Pathologies,1,0.0
Embedded Systems and FPGA Design,1,0.0
Corporate Social Responsibility and Sustainability,1,0.0
Wood and Agarwood Research,1,0.0
Academic Freedom and Politics,1,0.0
Williams Syndrome Research,1,0.0
Information Society and Technology Trends,1,0.0
Information Systems and Technology Applications,1,0.0
Infectious Disease Case Reports and Treatments,1,0.0
Water and Wastewater Treatment,1,0.0
EU Law and Policy Analysis,1,0.0
Early Modern Spanish Literature,1,0.0
Early Modern Women Writers,1,0.0
Earthquake and Disaster Impact Studies,1,0.0
Eastern European Communism and Reforms,1,0.0
Plant Surface Properties and Treatments,1,0.0
Economic and Business Development Strategies,1,0.0
Economic and Business Studies,1,0.0
Joseph Conrad and Literature,1,0.0
